dataset_name,method,k,theta,MAX,SSE,Total_time,allSSEs
Syn_n_50000_d_2_seed_2,asc,20,1.05,20,827592.066499684,232.916794061661,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828662.1439921606, 828550.2609978367, 828455.9698387334, 828354.871119998, 828260.5799608954, 828167.6277928089, 828074.7752196053, 827966.9079953358, 827872.6168362328, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
Syn_n_50000_d_2_seed_3,asc,20,1.05,20,822430.128915603,201.327866792679,"(824260.5187303787, 824191.5374086752, 824047.3949324419, 823935.7347681273, 823830.378026916, 823718.717862604, 823614.2721566376, 823512.8446551736, 823413.6049614714, 823312.1774600076, 823221.9404459023, 823122.7573390368, 823034.931563396, 822943.6350243236, 822852.8248214858, 822768.2451310881, 822681.6102404313, 822597.0305500333, 822513.4292216168, 822430.1289156033)"
Syn_n_50000_d_2_seed_4,asc,20,1.05,20,828915.101978877,168.755820989609,"(830826.2678053553, 830789.7441854959, 830533.759316792, 830480.5536460418, 830310.7750996249, 830245.0393876543, 830121.6963437917, 830029.8713314837, 829922.7961361674, 829821.3678700931, 829733.717380335, 829632.2891142608, 829540.464101952, 829440.6314138558, 829356.5314601352, 829267.8922685608, 829178.6687367607, 829093.4774166497, 829005.6328751685, 828915.1019788773)"
Syn_n_50000_d_2_seed_5,asc,20,1.05,20,823692.923557233,151.374621152878,"(825574.2785655768, 825480.0672797527, 825348.2251046016, 825266.6424070138, 825144.3183650571, 825043.714287157, 824956.6657454345, 824839.8075476126, 824744.1134659529, 824640.5565853848, 824540.2067264084, 824436.6498458403, 824344.5604787465, 824248.0937659745, 824161.8415359608, 824067.9573739343, 823975.002620568, 823872.3610926478, 823780.2717255539, 823692.9235572333)"
Syn_n_50000_d_2_seed_6,asc,20,1.05,20,823930.38295234,205.098227262497,"(825864.1754435081, 825788.1961943774, 825616.5346881888, 825511.8949629988, 825413.8215394765, 825286.0028985873, 825216.0682833774, 825088.2496424871, 824996.6081898627, 824888.1261181206, 824797.0127803984, 824681.3821616666, 824593.3158519765, 824495.3411310565, 824391.9874529422, 824303.9211432519, 824205.946422332, 824116.6133844182, 824021.6856915308, 823930.38295234)"
Syn_n_50000_d_2_seed_7,asc,20,1.05,20,825512.128297058,177.785099506378,"(827261.2201444132, 827185.0442106761, 827037.574863321, 826945.3935388544, 826832.4075217842, 826725.14262334, 826652.1386409957, 826544.9591292081, 826466.7626509914, 826368.9950666969, 826285.5094676132, 826195.3648255054, 826109.545405102, 826025.4035944742, 825935.9151639105, 825851.7733532827, 825766.69026762, 825682.465131329, 825593.0600264285, 825512.1282970577)"
Syn_n_50000_d_2_seed_8,asc,20,1.05,20,821197.659419203,153.211999416351,"(823068.4698093869, 823026.4136651858, 822868.6349023357, 822732.2074734378, 822636.8635329925, 822548.4614548767, 822453.157927695, 822330.9970613972, 822235.6935342161, 822147.365627269, 822052.1642163775, 821963.4576585332, 821865.7016592536, 821770.5077451603, 821673.043084139, 821577.7700460092, 821482.7646751867, 821393.0603201296, 821295.4154184822, 821197.6594192025)"
Syn_n_50000_d_2_seed_9,asc,20,1.05,20,825649.51843048,236.338355302811,"(827483.28194564, 827403.4733201341, 827271.9335505606, 827193.8248725396, 827078.7035376986, 826987.497631267, 826885.4271740383, 826791.6706994771, 826684.8970401774, 826584.6441252669, 826495.18533447, 826398.920722829, 826305.7685778161, 826209.4320630338, 826114.178184645, 826023.7768057237, 825928.5229273351, 825835.3026371942, 825742.7387206209, 825649.5184304799)"
Syn_n_50000_d_2_seed_0,asc,20,1.05,50,822470.770706042,162.251737117767,"(824313.2107042216, 824257.0284363973, 824114.7761229123, 824030.7285663149, 823905.2170225929, 823821.7913412442, 823709.34415283, 823625.9184714819, 823513.3253102559, 823430.4874448992, 823317.4524404929, 823236.0666961641, 823124.7530693846, 823040.9764982004, 822933.9627651996, 822849.6303120049, 822744.1981423032, 822659.9357550853, 822554.5035853833, 822470.7707060416)"
Syn_n_50000_d_2_seed_1,asc,20,1.05,50,822968.065816576,252.987029790878,"(824875.801116029, 824795.3291341065, 824626.3577451805, 824540.4891686059, 824427.2148058435, 824322.5318176268, 824226.0223336141, 824119.2519314445, 824026.4403479792, 823918.059459215, 823825.1349451018, 823731.4147665247, 823623.942472872, 823530.222294295, 823440.9764957424, 823340.9501314269, 823240.5815996235, 823146.8614210467, 823057.6156224941, 822968.0658165761)"
Syn_n_50000_d_2_seed_2,asc,20,1.05,50,827592.066499684,233.275985479355,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828662.1439921606, 828550.2609978367, 828455.9698387334, 828354.871119998, 828260.5799608954, 828167.6277928089, 828074.7752196053, 827966.9079953358, 827872.6168362328, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
Syn_n_50000_d_2_seed_3,asc,20,1.05,50,822430.128915603,210.116965770721,"(824260.5187303787, 824191.5374086752, 824047.3949324419, 823935.7347681273, 823830.378026916, 823718.717862604, 823614.2721566376, 823512.8446551736, 823413.6049614714, 823312.1774600076, 823221.9404459023, 823122.7573390368, 823034.931563396, 822943.6350243236, 822852.8248214858, 822768.2451310881, 822681.6102404313, 822597.0305500333, 822513.4292216168, 822430.1289156033)"
Syn_n_50000_d_2_seed_4,asc,20,1.05,50,828915.101978877,169.228222131729,"(830826.2678053553, 830789.7441854959, 830533.759316792, 830480.5536460418, 830310.7750996249, 830245.0393876543, 830121.6963437917, 830029.8713314837, 829922.7961361674, 829821.3678700931, 829733.717380335, 829632.2891142608, 829540.464101952, 829440.6314138558, 829356.5314601352, 829267.8922685608, 829178.6687367607, 829093.4774166497, 829005.6328751685, 828915.1019788773)"
Syn_n_50000_d_2_seed_5,asc,20,1.05,50,823692.923557233,152.122892856598,"(825574.2785655768, 825480.0672797527, 825348.2251046016, 825266.6424070138, 825144.3183650571, 825043.714287157, 824956.6657454345, 824839.8075476126, 824744.1134659529, 824640.5565853848, 824540.2067264084, 824436.6498458403, 824344.5604787465, 824248.0937659745, 824161.8415359608, 824067.9573739343, 823975.002620568, 823872.3610926478, 823780.2717255539, 823692.9235572333)"
Syn_n_50000_d_2_seed_6,asc,20,1.05,50,823930.38295234,205.483522176743,"(825864.1754435081, 825788.1961943774, 825616.5346881888, 825511.8949629988, 825413.8215394765, 825286.0028985873, 825216.0682833774, 825088.2496424871, 824996.6081898627, 824888.1261181206, 824797.0127803984, 824681.3821616666, 824593.3158519765, 824495.3411310565, 824391.9874529422, 824303.9211432519, 824205.946422332, 824116.6133844182, 824021.6856915308, 823930.38295234)"
Syn_n_50000_d_2_seed_7,asc,20,1.05,50,825512.128297058,178.286828279495,"(827261.2201444132, 827185.0442106761, 827037.574863321, 826945.3935388544, 826832.4075217842, 826725.14262334, 826652.1386409957, 826544.9591292081, 826466.7626509914, 826368.9950666969, 826285.5094676132, 826195.3648255054, 826109.545405102, 826025.4035944742, 825935.9151639105, 825851.7733532827, 825766.69026762, 825682.465131329, 825593.0600264285, 825512.1282970577)"
Syn_n_50000_d_2_seed_8,asc,20,1.05,50,821197.659419203,153.993083715439,"(823068.4698093869, 823026.4136651858, 822868.6349023357, 822732.2074734378, 822636.8635329925, 822548.4614548767, 822453.157927695, 822330.9970613972, 822235.6935342161, 822147.365627269, 822052.1642163775, 821963.4576585332, 821865.7016592536, 821770.5077451603, 821673.043084139, 821577.7700460092, 821482.7646751867, 821393.0603201296, 821295.4154184822, 821197.6594192025)"
Syn_n_50000_d_2_seed_9,asc,20,1.05,50,825649.51843048,236.201189756393,"(827483.28194564, 827403.4733201341, 827271.9335505606, 827193.8248725396, 827078.7035376986, 826987.497631267, 826885.4271740383, 826791.6706994771, 826684.8970401774, 826584.6441252669, 826495.18533447, 826398.920722829, 826305.7685778161, 826209.4320630338, 826114.178184645, 826023.7768057237, 825928.5229273351, 825835.3026371942, 825742.7387206209, 825649.5184304799)"
Syn_n_50000_d_2_seed_0,asc,20,1.1,5,822470.770706042,125.683916091919,"(824313.2107042216, 824257.0284363973, 824114.7761229123, 824030.7285663149, 823905.2170225929, 823821.7913412442, 823709.34415283, 823625.9184714819, 823513.3253102559, 823430.4874448992, 823317.4524404929, 823236.0666961641, 823124.7530693846, 823040.9764982008, 822933.9627651996, 822849.6303120053, 822744.1981423034, 822659.9357550853, 822554.5035853833, 822470.7707060416)"
Syn_n_50000_d_2_seed_1,asc,20,1.1,5,822973.1119851,220.765760183334,"(824875.801116029, 824795.3291341065, 824626.3577451805, 824540.4891686059, 824427.2148058435, 824322.5318176268, 824226.0223336141, 824119.2519314445, 824026.4403479792, 823918.059459215, 823825.1349451018, 823731.4147665247, 823623.942472872, 823530.222294295, 823440.9764957424, 823340.9501314269, 823240.5815996235, 823146.8614210467, 823057.6156224941, 822973.1119851)"
Syn_n_50000_d_2_seed_2,asc,20,1.1,5,827592.066499684,219.570354938507,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828662.1439921606, 828550.2609978367, 828455.9698387334, 828354.871119998, 828260.5799608954, 828167.6277928089, 828074.7752196053, 827981.3888878152, 827872.6168362324, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
Syn_n_50000_d_2_seed_3,asc,20,1.1,5,822430.128915603,174.258775949478,"(824260.5187303787, 824191.5374086752, 824047.3949324419, 823935.7347681273, 823830.378026916, 823718.717862604, 823614.2721566376, 823512.8446551736, 823413.6049614714, 823312.1774600076, 823221.9404459023, 823122.7573390368, 823034.931563396, 822943.6350243236, 822852.8248214858, 822768.2451310881, 822681.6102404313, 822597.0305500333, 822513.4292216168, 822430.1289156033)"
Syn_n_50000_d_2_seed_4,asc,20,1.1,5,828915.101978877,146.705387115479,"(830826.2678053553, 830789.7441854959, 830533.759316792, 830480.5536460418, 830310.7750996249, 830245.0393876543, 830121.6963437917, 830029.8713314837, 829922.7961361674, 829821.3678700931, 829733.717380335, 829632.2891142608, 829540.464101952, 829440.6314138558, 829356.5314601352, 829267.8922685608, 829178.6687367607, 829093.4774166497, 829005.6328751685, 828915.1019788773)"
Syn_n_50000_d_2_seed_5,asc,20,1.1,5,823692.923557233,118.055896043777,"(825574.2785655768, 825480.0672797527, 825348.2251046016, 825266.6424070138, 825144.3183650571, 825043.714287157, 824956.6657454345, 824839.8075476126, 824744.1134659529, 824640.5565853848, 824540.2067264084, 824436.6498458403, 824344.5604787465, 824248.0937659745, 824161.8415359608, 824067.9573739343, 823975.002620568, 823872.3610926478, 823780.2717255539, 823692.9235572333)"
Syn_n_50000_d_2_seed_6,asc,20,1.1,5,823930.38295234,177.286604166031,"(825864.1754435081, 825788.1961943774, 825616.5346881888, 825511.8949629988, 825413.8215394765, 825286.0028985873, 825216.0682833774, 825088.2496424871, 824996.6081898627, 824888.1261181206, 824797.0127803984, 824681.3821616666, 824593.3158519765, 824495.3411310565, 824391.9874529422, 824303.9211432519, 824205.946422332, 824116.6133844182, 824021.6856915308, 823930.38295234)"
Syn_n_50000_d_2_seed_7,asc,20,1.1,5,825512.128297058,157.019698381424,"(827261.2201444132, 827185.0442106761, 827037.574863321, 826945.3935388544, 826832.4075217842, 826725.14262334, 826652.1386409957, 826544.9591292081, 826466.7626509914, 826368.9950666969, 826285.5094676132, 826195.3648255054, 826109.545405102, 826025.4035944742, 825935.9151639105, 825851.7733532827, 825766.69026762, 825682.465131329, 825593.0600264285, 825512.1282970577)"
Syn_n_50000_d_2_seed_8,asc,20,1.1,5,821197.659419203,132.244601249695,"(823068.4698093869, 823026.4136651858, 822868.6349023357, 822732.2074734378, 822636.8635329925, 822548.4614548767, 822453.157927695, 822330.9970613972, 822235.6935342161, 822147.365627269, 822052.1642163775, 821963.4576585332, 821865.7016592536, 821770.5077451603, 821673.043084139, 821577.7700460092, 821482.7646751867, 821393.0603201296, 821295.4154184822, 821197.6594192025)"
Syn_n_50000_d_2_seed_9,asc,20,1.1,5,825649.51843048,213.094829082489,"(827483.28194564, 827403.4733201341, 827271.9335505606, 827193.8248725396, 827078.7035376986, 826987.497631267, 826885.4271740383, 826791.6706994771, 826684.8970401774, 826584.6441252669, 826495.18533447, 826398.920722829, 826305.7685778161, 826209.4320630338, 826114.178184645, 826023.7768057237, 825928.5229273351, 825835.3026371942, 825742.7387206209, 825649.5184304799)"
Syn_n_50000_d_2_seed_0,asc,20,1.1,10,822470.770706042,125.808741807938,"(824313.2107042216, 824257.0284363973, 824114.7761229123, 824030.7285663149, 823905.2170225929, 823821.7913412442, 823709.34415283, 823625.9184714819, 823513.3253102559, 823430.4874448992, 823317.4524404929, 823236.0666961641, 823124.7530693846, 823040.9764982008, 822933.9627651996, 822849.6303120053, 822744.1981423034, 822659.9357550853, 822554.5035853833, 822470.7707060416)"
Syn_n_50000_d_2_seed_1,asc,20,1.1,10,822973.1119851,221.505372285843,"(824875.801116029, 824795.3291341065, 824626.3577451805, 824540.4891686059, 824427.2148058435, 824322.5318176268, 824226.0223336141, 824119.2519314445, 824026.4403479792, 823918.059459215, 823825.1349451018, 823731.4147665247, 823623.942472872, 823530.222294295, 823440.9764957424, 823340.9501314269, 823240.5815996235, 823146.8614210467, 823057.6156224941, 822973.1119851)"
Syn_n_50000_d_2_seed_2,asc,20,1.1,10,827592.066499684,219.629973173141,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828662.1439921606, 828550.2609978367, 828455.9698387334, 828354.871119998, 828260.5799608954, 828167.6277928089, 828074.7752196053, 827981.3888878152, 827872.6168362324, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
Syn_n_50000_d_2_seed_3,asc,20,1.1,10,822430.128915603,179.713604450226,"(824260.5187303787, 824191.5374086752, 824047.3949324419, 823935.7347681273, 823830.378026916, 823718.717862604, 823614.2721566376, 823512.8446551736, 823413.6049614714, 823312.1774600076, 823221.9404459023, 823122.7573390368, 823034.931563396, 822943.6350243236, 822852.8248214858, 822768.2451310881, 822681.6102404313, 822597.0305500333, 822513.4292216168, 822430.1289156033)"
Syn_n_50000_d_2_seed_4,asc,20,1.1,10,828915.101978877,146.684582233429,"(830826.2678053553, 830789.7441854959, 830533.759316792, 830480.5536460418, 830310.7750996249, 830245.0393876543, 830121.6963437917, 830029.8713314837, 829922.7961361674, 829821.3678700931, 829733.717380335, 829632.2891142608, 829540.464101952, 829440.6314138558, 829356.5314601352, 829267.8922685608, 829178.6687367607, 829093.4774166497, 829005.6328751685, 828915.1019788773)"
Syn_n_50000_d_2_seed_5,asc,20,1.1,10,823692.923557233,118.040858507156,"(825574.2785655768, 825480.0672797527, 825348.2251046016, 825266.6424070138, 825144.3183650571, 825043.714287157, 824956.6657454345, 824839.8075476126, 824744.1134659529, 824640.5565853848, 824540.2067264084, 824436.6498458403, 824344.5604787465, 824248.0937659745, 824161.8415359608, 824067.9573739343, 823975.002620568, 823872.3610926478, 823780.2717255539, 823692.9235572333)"
Syn_n_50000_d_2_seed_6,asc,20,1.1,10,823930.38295234,177.226179838181,"(825864.1754435081, 825788.1961943774, 825616.5346881888, 825511.8949629988, 825413.8215394765, 825286.0028985873, 825216.0682833774, 825088.2496424871, 824996.6081898627, 824888.1261181206, 824797.0127803984, 824681.3821616666, 824593.3158519765, 824495.3411310565, 824391.9874529422, 824303.9211432519, 824205.946422332, 824116.6133844182, 824021.6856915308, 823930.38295234)"
Syn_n_50000_d_2_seed_7,asc,20,1.1,10,825512.128297058,157.290858983994,"(827261.2201444132, 827185.0442106761, 827037.574863321, 826945.3935388544, 826832.4075217842, 826725.14262334, 826652.1386409957, 826544.9591292081, 826466.7626509914, 826368.9950666969, 826285.5094676132, 826195.3648255054, 826109.545405102, 826025.4035944742, 825935.9151639105, 825851.7733532827, 825766.69026762, 825682.465131329, 825593.0600264285, 825512.1282970577)"
Syn_n_50000_d_2_seed_8,asc,20,1.1,10,821197.659419203,132.46967959404,"(823068.4698093869, 823026.4136651858, 822868.6349023357, 822732.2074734378, 822636.8635329925, 822548.4614548767, 822453.157927695, 822330.9970613972, 822235.6935342161, 822147.365627269, 822052.1642163775, 821963.4576585332, 821865.7016592536, 821770.5077451603, 821673.043084139, 821577.7700460092, 821482.7646751867, 821393.0603201296, 821295.4154184822, 821197.6594192025)"
Syn_n_50000_d_2_seed_9,asc,20,1.1,10,825649.51843048,212.978963851929,"(827483.28194564, 827403.4733201341, 827271.9335505606, 827193.8248725396, 827078.7035376986, 826987.497631267, 826885.4271740383, 826791.6706994771, 826684.8970401774, 826584.6441252669, 826495.18533447, 826398.920722829, 826305.7685778161, 826209.4320630338, 826114.178184645, 826023.7768057237, 825928.5229273351, 825835.3026371942, 825742.7387206209, 825649.5184304799)"
Syn_n_50000_d_2_seed_0,asc,20,1.1,20,822470.770706042,126.008788108826,"(824313.2107042216, 824257.0284363973, 824114.7761229123, 824030.7285663149, 823905.2170225929, 823821.7913412442, 823709.34415283, 823625.9184714819, 823513.3253102559, 823430.4874448992, 823317.4524404929, 823236.0666961641, 823124.7530693846, 823040.9764982008, 822933.9627651996, 822849.6303120053, 822744.1981423034, 822659.9357550853, 822554.5035853833, 822470.7707060416)"
Syn_n_50000_d_2_seed_1,asc,20,1.1,20,822973.1119851,222.118689537048,"(824875.801116029, 824795.3291341065, 824626.3577451805, 824540.4891686059, 824427.2148058435, 824322.5318176268, 824226.0223336141, 824119.2519314445, 824026.4403479792, 823918.059459215, 823825.1349451018, 823731.4147665247, 823623.942472872, 823530.222294295, 823440.9764957424, 823340.9501314269, 823240.5815996235, 823146.8614210467, 823057.6156224941, 822973.1119851)"
Syn_n_50000_d_2_seed_2,asc,20,1.1,20,827592.066499684,219.853208065033,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828662.1439921606, 828550.2609978367, 828455.9698387334, 828354.871119998, 828260.5799608954, 828167.6277928089, 828074.7752196053, 827981.3888878152, 827872.6168362324, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
Syn_n_50000_d_2_seed_3,asc,20,1.1,20,822430.128915603,182.391378164291,"(824260.5187303787, 824191.5374086752, 824047.3949324419, 823935.7347681273, 823830.378026916, 823718.717862604, 823614.2721566376, 823512.8446551736, 823413.6049614714, 823312.1774600076, 823221.9404459023, 823122.7573390368, 823034.931563396, 822943.6350243236, 822852.8248214858, 822768.2451310881, 822681.6102404313, 822597.0305500333, 822513.4292216168, 822430.1289156033)"
Syn_n_50000_d_2_seed_4,asc,20,1.1,20,828915.101978877,146.845349311829,"(830826.2678053553, 830789.7441854959, 830533.759316792, 830480.5536460418, 830310.7750996249, 830245.0393876543, 830121.6963437917, 830029.8713314837, 829922.7961361674, 829821.3678700931, 829733.717380335, 829632.2891142608, 829540.464101952, 829440.6314138558, 829356.5314601352, 829267.8922685608, 829178.6687367607, 829093.4774166497, 829005.6328751685, 828915.1019788773)"
Syn_n_50000_d_2_seed_5,asc,20,1.1,20,823692.923557233,118.294495105743,"(825574.2785655768, 825480.0672797527, 825348.2251046016, 825266.6424070138, 825144.3183650571, 825043.714287157, 824956.6657454345, 824839.8075476126, 824744.1134659529, 824640.5565853848, 824540.2067264084, 824436.6498458403, 824344.5604787465, 824248.0937659745, 824161.8415359608, 824067.9573739343, 823975.002620568, 823872.3610926478, 823780.2717255539, 823692.9235572333)"
Syn_n_50000_d_2_seed_6,asc,20,1.1,20,823930.38295234,177.629106283188,"(825864.1754435081, 825788.1961943774, 825616.5346881888, 825511.8949629988, 825413.8215394765, 825286.0028985873, 825216.0682833774, 825088.2496424871, 824996.6081898627, 824888.1261181206, 824797.0127803984, 824681.3821616666, 824593.3158519765, 824495.3411310565, 824391.9874529422, 824303.9211432519, 824205.946422332, 824116.6133844182, 824021.6856915308, 823930.38295234)"
Syn_n_50000_d_2_seed_7,asc,20,1.1,20,825512.128297058,157.521279096603,"(827261.2201444132, 827185.0442106761, 827037.574863321, 826945.3935388544, 826832.4075217842, 826725.14262334, 826652.1386409957, 826544.9591292081, 826466.7626509914, 826368.9950666969, 826285.5094676132, 826195.3648255054, 826109.545405102, 826025.4035944742, 825935.9151639105, 825851.7733532827, 825766.69026762, 825682.465131329, 825593.0600264285, 825512.1282970577)"
Syn_n_50000_d_2_seed_8,asc,20,1.1,20,821197.659419203,132.557421684265,"(823068.4698093869, 823026.4136651858, 822868.6349023357, 822732.2074734378, 822636.8635329925, 822548.4614548767, 822453.157927695, 822330.9970613972, 822235.6935342161, 822147.365627269, 822052.1642163775, 821963.4576585332, 821865.7016592536, 821770.5077451603, 821673.043084139, 821577.7700460092, 821482.7646751867, 821393.0603201296, 821295.4154184822, 821197.6594192025)"
Syn_n_50000_d_2_seed_9,asc,20,1.1,20,825649.51843048,213.222409725189,"(827483.28194564, 827403.4733201341, 827271.9335505606, 827193.8248725396, 827078.7035376986, 826987.497631267, 826885.4271740383, 826791.6706994771, 826684.8970401774, 826584.6441252669, 826495.18533447, 826398.920722829, 826305.7685778161, 826209.4320630338, 826114.178184645, 826023.7768057237, 825928.5229273351, 825835.3026371942, 825742.7387206209, 825649.5184304799)"
Syn_n_50000_d_2_seed_0,asc,20,1.1,50,822470.770706042,126.557033777237,"(824313.2107042216, 824257.0284363973, 824114.7761229123, 824030.7285663149, 823905.2170225929, 823821.7913412442, 823709.34415283, 823625.9184714819, 823513.3253102559, 823430.4874448992, 823317.4524404929, 823236.0666961641, 823124.7530693846, 823040.9764982008, 822933.9627651996, 822849.6303120053, 822744.1981423034, 822659.9357550853, 822554.5035853833, 822470.7707060416)"
Syn_n_50000_d_2_seed_1,asc,20,1.1,50,822973.1119851,222.889926195145,"(824875.801116029, 824795.3291341065, 824626.3577451805, 824540.4891686059, 824427.2148058435, 824322.5318176268, 824226.0223336141, 824119.2519314445, 824026.4403479792, 823918.059459215, 823825.1349451018, 823731.4147665247, 823623.942472872, 823530.222294295, 823440.9764957424, 823340.9501314269, 823240.5815996235, 823146.8614210467, 823057.6156224941, 822973.1119851)"
Syn_n_50000_d_2_seed_2,asc,20,1.1,50,827592.066499684,220.429802894592,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828662.1439921606, 828550.2609978367, 828455.9698387334, 828354.871119998, 828260.5799608954, 828167.6277928089, 828074.7752196053, 827981.3888878152, 827872.6168362324, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
Syn_n_50000_d_2_seed_3,asc,20,1.1,50,822430.128915603,184.931424617767,"(824260.5187303787, 824191.5374086752, 824047.3949324419, 823935.7347681273, 823830.378026916, 823718.717862604, 823614.2721566376, 823512.8446551736, 823413.6049614714, 823312.1774600076, 823221.9404459023, 823122.7573390368, 823034.931563396, 822943.6350243236, 822852.8248214858, 822768.2451310881, 822681.6102404313, 822597.0305500333, 822513.4292216168, 822430.1289156033)"
Syn_n_50000_d_2_seed_4,asc,20,1.1,50,828915.101978877,147.232708454132,"(830826.2678053553, 830789.7441854959, 830533.759316792, 830480.5536460418, 830310.7750996249, 830245.0393876543, 830121.6963437917, 830029.8713314837, 829922.7961361674, 829821.3678700931, 829733.717380335, 829632.2891142608, 829540.464101952, 829440.6314138558, 829356.5314601352, 829267.8922685608, 829178.6687367607, 829093.4774166497, 829005.6328751685, 828915.1019788773)"
Syn_n_50000_d_2_seed_5,asc,20,1.1,50,823692.923557233,118.841298103333,"(825574.2785655768, 825480.0672797527, 825348.2251046016, 825266.6424070138, 825144.3183650571, 825043.714287157, 824956.6657454345, 824839.8075476126, 824744.1134659529, 824640.5565853848, 824540.2067264084, 824436.6498458403, 824344.5604787465, 824248.0937659745, 824161.8415359608, 824067.9573739343, 823975.002620568, 823872.3610926478, 823780.2717255539, 823692.9235572333)"
Syn_n_50000_d_2_seed_6,asc,20,1.1,50,823930.38295234,178.435890674591,"(825864.1754435081, 825788.1961943774, 825616.5346881888, 825511.8949629988, 825413.8215394765, 825286.0028985873, 825216.0682833774, 825088.2496424871, 824996.6081898627, 824888.1261181206, 824797.0127803984, 824681.3821616666, 824593.3158519765, 824495.3411310565, 824391.9874529422, 824303.9211432519, 824205.946422332, 824116.6133844182, 824021.6856915308, 823930.38295234)"
Syn_n_50000_d_2_seed_7,asc,20,1.1,50,825512.128297058,157.950160503387,"(827261.2201444132, 827185.0442106761, 827037.574863321, 826945.3935388544, 826832.4075217842, 826725.14262334, 826652.1386409957, 826544.9591292081, 826466.7626509914, 826368.9950666969, 826285.5094676132, 826195.3648255054, 826109.545405102, 826025.4035944742, 825935.9151639105, 825851.7733532827, 825766.69026762, 825682.465131329, 825593.0600264285, 825512.1282970577)"
Syn_n_50000_d_2_seed_8,asc,20,1.1,50,821197.659419203,133.061308383942,"(823068.4698093869, 823026.4136651858, 822868.6349023357, 822732.2074734378, 822636.8635329925, 822548.4614548767, 822453.157927695, 822330.9970613972, 822235.6935342161, 822147.365627269, 822052.1642163775, 821963.4576585332, 821865.7016592536, 821770.5077451603, 821673.043084139, 821577.7700460092, 821482.7646751867, 821393.0603201296, 821295.4154184822, 821197.6594192025)"
Syn_n_50000_d_2_seed_9,asc,20,1.1,50,825649.51843048,213.721314191818,"(827483.28194564, 827403.4733201341, 827271.9335505606, 827193.8248725396, 827078.7035376986, 826987.497631267, 826885.4271740383, 826791.6706994771, 826684.8970401774, 826584.6441252669, 826495.18533447, 826398.920722829, 826305.7685778161, 826209.4320630338, 826114.178184645, 826023.7768057237, 825928.5229273351, 825835.3026371942, 825742.7387206209, 825649.5184304799)"
Syn_n_50000_d_2_seed_0,asc,20,1.2,5,822470.770706042,101.684187173843,"(824313.2107042216, 824257.0284363973, 824114.7761229123, 824030.7285663149, 823905.2170225929, 823821.7913412433, 823709.34415283, 823625.918471481, 823513.3253102559, 823430.4874448992, 823317.4524404929, 823236.0666961641, 823124.7530693846, 823043.3673250558, 822935.058512466, 822851.2819412808, 822744.2682082809, 822659.9357550853, 822554.5035853833, 822470.7707060416)"
Syn_n_50000_d_2_seed_1,asc,20,1.2,5,822973.1119851,202.264707565308,"(824875.801116029, 824795.3291341065, 824626.3577451805, 824540.4891686059, 824427.2148058435, 824322.5318176268, 824226.0223336141, 824119.2519314445, 824026.4403479792, 823918.059459215, 823825.1349451018, 823731.4147665247, 823623.942472872, 823530.222294295, 823440.9764957424, 823340.9501314269, 823240.5815996237, 823146.8614210467, 823057.6156224941, 822973.1119851)"
Syn_n_50000_d_2_seed_2,asc,20,1.2,5,827592.066499684,208.844039916992,"(829562.6947738976, 829454.3546117231, 829288.6495423694, 829202.280344689, 829068.6274391734, 828956.7444448492, 828862.4532857458, 828761.2131954858, 828662.1439921606, 828550.2609978367, 828455.9698387334, 828354.871119998, 828260.5799608954, 828167.6277928089, 828074.7752196053, 827981.3888878152, 827872.6168362324, 827779.3098268742, 827685.0186677708, 827592.0664996844)"
Syn_n_50000_d_2_seed_3,asc,20,1.2,5,822430.128915603,154.248241424561,"(824260.5187303787, 824191.5374086752, 824047.3949324419, 823935.7347681273, 823830.378026916, 823718.717862604, 823614.2721566376, 823512.8446551736, 823413.6049614714, 823312.1774600076, 823221.9404459023, 823122.7573390368, 823034.931563396, 822943.6350243236, 822852.8248214858, 822768.2451310881, 822681.6102404313, 822597.0305500333, 822513.4292216168, 822430.1289156033)"
